company_id,cik,ticker,company_name,accession_number,report_year,filing_date,parser_version,language_measurement_version,ai_concreteness_mean,ai_concreteness_median,ai_concreteness_standard_deviation,ai_concreteness_min,ai_concreteness_max,ai_concreteness_matched_token_count,ai_concreteness_eligible_token_count,ai_concreteness_unmatched_token_count,ai_concreteness_coverage,ai_concreteness_unique_dictionary_entries,ai_concreteness_stem_collision_count,ai_concreteness_status
P2025-001,0001754301,FOXA|FOX,Fox Corporation (Class A)|Fox Corporation (Class B),0001628280-25-038077,2025,2025-08-06,1.0.3,0.3.0,2.6859375,2.49,0.781108424672113,1.5,4.67,224,290,66,0.7724137931034483,145,37,warning_stem_collisions
P2025-002,0001973266,TKO,TKO Group Holdings,0001193125-26-071651,2025,2026-02-25,1.0.3,0.3.0,2.7269444444444444,2.59,0.6492787427618967,1.8,4.87,72,88,16,0.8181818181818182,56,13,warning_stem_collisions
P2025-003,0001335258,LYV,Live Nation Entertainment,0001335258-26-000009,2025,2026-02-19,1.0.3,0.3.0,,,,,,0,0,0,,0,0,warning_denominator_zero
P2025-004,0001744489,DIS,Walt Disney Company (The),0001744489-25-000155,2025,2025-11-13,1.0.3,0.3.0,2.706875,2.59,0.7200337267853038,1.63,4.87,96,139,43,0.6906474820143885,69,30,warning_stem_collisions
P2025-005,0001065088,EBAY,eBay Inc.,0001065088-26-000027,2025,2026-02-19,1.0.3,0.3.0,2.900271084337349,2.85,0.806222553660808,1.5,5.0,664,954,290,0.6960167714884696,382,185,warning_stem_collisions
P2025-006,0000815097,CCL,Carnival Corporation,0000815097-26-000007,2025,2026-01-27,1.0.3,0.3.0,2.6526851851851854,2.4699999999999998,0.6693924919649457,1.5,4.62,108,144,36,0.75,86,26,warning_stem_collisions
P2025-007,0001121788,GRMN,Garmin,0001193125-26-056028,2025,2026-02-18,1.0.3,0.3.0,,,,,,0,0,0,,0,0,warning_denominator_zero
P2025-008,0001403568,ULTA,Ulta Beauty,0001558370-25-003810,2025,2025-03-27,1.0.3,0.3.0,2.8733333333333335,2.6,0.8267165883543873,1.72,4.79,21,32,11,0.65625,17,8,warning_stem_collisions
P2025-009,0001286681,DPZ,Domino's,0001193125-26-062321,2025,2026-02-23,1.0.3,0.3.0,2.675876288659794,2.61,0.6491259032758989,1.59,4.48,97,125,28,0.776,65,13,warning_stem_collisions
P2025-010,0000109198,TJX,TJX Companies,0000109198-25-000010,2025,2025-04-02,1.0.3,0.3.0,2.432439024390244,2.36,0.51092828234167,1.62,3.4,41,55,14,0.7454545454545455,27,14,warning_stem_collisions
P2025-011,0000906163,NVR,"NVR, Inc.",0000906163-26-000018,2025,2026-02-11,1.0.3,0.3.0,2.5141666666666667,2.4299999999999997,0.45591406963252284,1.63,3.24,12,15,3,0.8,12,1,warning_stem_collisions
P2025-012,0001792789,DASH,DoorDash,0001792789-26-000013,2025,2026-02-18,1.0.3,0.3.0,2.63202479338843,2.465,0.7807897777707123,1.3,4.93,242,339,97,0.7138643067846607,151,70,warning_stem_collisions
P2025-013,0001513761,NCLH,Norwegian Cruise Line Holdings,0001104659-26-022067,2025,2026-03-02,1.0.3,0.3.0,2.6569767441860463,2.52,0.7884929248144354,1.3,4.87,86,123,37,0.6991869918699187,62,25,warning_stem_collisions
P2025-014,0000037996,F,Ford Motor Company,0000037996-26-000015,2025,2026-02-11,1.0.3,0.3.0,2.6559433962264154,2.5,0.7680283238461816,1.5,4.64,106,139,33,0.762589928057554,61,30,warning_stem_collisions
P2025-015,0000313927,CHD,Church & Dwight,0001193125-26-048139,2025,2026-02-12,1.0.3,0.3.0,2.767106918238994,2.63,0.8002620214866497,1.3,4.93,159,199,40,0.7989949748743719,109,25,warning_stem_collisions
P2025-016,0000040704,GIS,General Mills,0001193125-25-147079,2025,2025-06-26,1.0.3,0.3.0,,,,,,0,0,0,,0,0,warning_denominator_zero
P2025-017,0000021665,CL,Colgate-Palmolive,0000021665-26-000006,2025,2026-02-23,1.0.3,0.3.0,2.695460385438972,2.5,0.7857085020182413,1.3,4.96,467,644,177,0.7251552795031055,227,121,warning_stem_collisions
P2025-018,0000016918,STZ,Constellation Brands,0000016918-25-000022,2025,2025-04-23,1.0.3,0.3.0,2.6183916083916086,2.43,0.7520979053489514,1.3,4.57,143,204,61,0.7009803921568627,96,41,warning_stem_collisions
P2025-019,0000091419,SJM,J.M. Smucker Company (The),0000091419-25-000056,2025,2025-06-18,1.0.3,0.3.0,2.655945945945946,2.57,0.7044471071754707,1.63,4.7,37,46,9,0.8043478260869565,34,7,warning_stem_collisions
P2025-020,0000100493,TSN,Tyson Foods,0000100493-25-000095,2025,2025-11-10,1.0.3,0.3.0,2.8329680365296803,2.59,0.8713260004030274,1.3,4.96,219,325,106,0.6738461538461539,157,65,warning_stem_collisions
P2025-021,0000104169,WMT,Walmart,0000104169-25-000021,2025,2025-03-14,1.0.3,0.3.0,2.754051282051282,2.59,0.7926524749775906,1.5,4.7,195,266,71,0.7330827067669173,137,53,warning_stem_collisions
P2025-022,0000034088,XOM,ExxonMobil,0000034088-26-000045,2025,2026-02-18,1.0.3,0.3.0,2.8896629213483145,2.82,0.8042268245056161,1.64,4.93,89,129,40,0.689922480620155,70,29,warning_stem_collisions
P2025-023,0001539838,FANG,Diamondback Energy,0001539838-26-000010,2025,2026-02-25,1.0.3,0.3.0,2.6677685950413226,2.44,0.7561117233499837,1.62,5.0,121,161,40,0.7515527950310559,111,28,warning_stem_collisions
