scope,report_year,metric,value
all_years,,total_rows,2827
all_years,,total_unique_companies,545
all_years,,total_years,6
all_years,,min_year,2020
all_years,,max_year,2025
all_years,,duplicate_company_year,0
all_years,,duplicate_cik_year,0
all_years,,duplicate_accession,0
all_years,,missing_company_id,0
all_years,,missing_cik,0
all_years,,missing_accession,0
all_years,,missing_report_year,0
all_years,,failed_rows,0
all_years,,warning_rows,2727
all_years,,ai_disclosure_rows,1658
all_years,,ai_non_disclosure_rows,1169
all_years,,invalid_coverage_rows,0
all_years,,infinity_rows,0
all_years,,string_nan_rows,0
report_year,2020,row_count,445
report_year,2020,unique_company_count,445
report_year,2020,ai_disclosure_count,122
report_year,2020,ai_non_disclosure_count,323
report_year,2020,warning_count,445
report_year,2020,failed_count,0
report_year,2021,row_count,461
report_year,2021,unique_company_count,461
report_year,2021,ai_disclosure_count,143
report_year,2021,ai_non_disclosure_count,318
report_year,2021,warning_count,461
report_year,2021,failed_count,0
report_year,2022,row_count,471
report_year,2022,unique_company_count,471
report_year,2022,ai_disclosure_count,167
report_year,2022,ai_non_disclosure_count,304
report_year,2022,warning_count,471
report_year,2022,failed_count,0
report_year,2023,row_count,479
report_year,2023,unique_company_count,479
report_year,2023,ai_disclosure_count,327
report_year,2023,ai_non_disclosure_count,152
report_year,2023,warning_count,479
report_year,2023,failed_count,0
report_year,2024,row_count,487
report_year,2024,unique_company_count,487
report_year,2024,ai_disclosure_count,431
report_year,2024,ai_non_disclosure_count,56
report_year,2024,warning_count,487
report_year,2024,failed_count,0
report_year,2025,row_count,484
report_year,2025,unique_company_count,484
report_year,2025,ai_disclosure_count,468
report_year,2025,ai_non_disclosure_count,16
report_year,2025,warning_count,384
report_year,2025,failed_count,0
